sigma,tlow,thigh,width,height,mp,time,fps,psnr
1.50, 0.20, 0.75, 400, 1000, 1, 10.304962, 2.911219, 3.72
1.50, 0.20, 0.75, 400, 1000, 2, 11.076443, 2.708451, 3.72
1.50, 0.20, 0.75, 850, 100, 0, 4.427506, 6.775824, 3.81
1.50, 0.20, 0.75, 850, 100, 1, 2.573631, 11.656683, 3.81
1.50, 0.20, 0.75, 850, 100, 2, 2.575983, 11.646040, 3.81
1.50, 0.20, 0.75, 850, 550, 0, 22.808492, 1.315300, 3.69
1.50, 0.20, 0.75, 850, 550, 1, 12.022954, 2.495227, 3.68
1.50, 0.20, 0.75, 850, 550, 2, 12.864351, 2.332026, 3.69
1.50, 0.20, 0.75, 850, 1000, 0, 41.064430, 0.730559, 3.67
1.50, 0.20, 0.75, 850, 1000, 1, 21.660983, 1.384979, 3.67
1.50, 0.20, 0.75, 850, 1000, 2, 23.448357, 1.279407, 3.67
1.50, 0.20, 0.75, 1300, 100, 0, 6.532862, 4.592168, 3.81
1.50, 0.20, 0.75, 1300, 100, 1, 3.540188, 8.474126, 3.81
1.50, 0.20, 0.75, 1300, 100, 2, 3.685202, 8.140666, 3.81
1.50, 0.20, 0.75, 1300, 550, 0, 34.700198, 0.864548, 3.69
1.50, 0.20, 0.75, 1300, 550, 1, 18.563300, 1.616092, 3.68
1.50, 0.20, 0.75, 1300, 550, 2, 19.985064, 1.501121, 3.69
1.50, 0.20, 0.75, 1300, 1000, 0, 62.699750, 0.478471, 3.66
1.50, 0.20, 0.75, 1300, 1000, 1, 33.244121, 0.902415, 3.66
1.50, 0.20, 0.75, 1300, 1000, 2, 36.391896, 0.824359, 3.66
1.50, 0.20, 0.90, 400, 100, 0, 2.252030, 13.321315, 3.68
1.50, 0.20, 0.90, 400, 100, 1, 1.354724, 22.144732, 3.68
1.50, 0.20, 0.90, 400, 100, 2, 1.357444, 22.100359, 3.68
1.50, 0.20, 0.90, 400, 550, 0, 10.436931, 2.874408, 3.69
1.50, 0.20, 0.90, 400, 550, 1, 5.570096, 5.385904, 3.68
1.50, 0.20, 0.90, 400, 550, 2, 6.041323, 4.965800, 3.69
1.50, 0.20, 0.90, 400, 1000, 0, 18.973879, 1.581121, 3.68
1.50, 0.20, 0.90, 400, 1000, 1, 10.047480, 2.985823, 3.68
1.50, 0.20, 0.90, 400, 1000, 2, 10.939096, 2.742457, 3.68
1.50, 0.20, 0.90, 850, 100, 0, 4.410525, 6.801911, 3.66
1.50, 0.20, 0.90, 850, 100, 1, 2.418947, 12.402091, 3.66
1.50, 0.20, 0.90, 850, 100, 2, 2.528274, 11.865803, 3.66
1.50, 0.20, 0.90, 850, 550, 0, 22.501259, 1.333259, 3.66
1.50, 0.20, 0.90, 850, 550, 1, 11.708206, 2.562305, 3.65
1.50, 0.20, 0.90, 850, 550, 2, 12.550939, 2.390259, 3.66
1.50, 0.20, 0.90, 850, 1000, 0, 40.459464, 0.741483, 3.64
1.50, 0.20, 0.90, 850, 1000, 1, 21.649737, 1.385698, 3.64
1.50, 0.20, 0.90, 850, 1000, 2, 22.947023, 1.307359, 3.64
1.50, 0.20, 0.90, 1300, 100, 0, 6.436122, 4.661192, 3.66
1.50, 0.20, 0.90, 1300, 100, 1, 3.458213, 8.675001, 3.66
1.50, 0.20, 0.90, 1300, 100, 2, 3.572380, 8.397763, 3.66
1.50, 0.20, 0.90, 1300, 550, 0, 34.316074, 0.874226, 3.65
1.50, 0.20, 0.90, 1300, 550, 1, 18.297713, 1.639549, 3.64
1.50, 0.20, 0.90, 1300, 550, 2, 19.369472, 1.548829, 3.65
1.50, 0.20, 0.90, 1300, 1000, 0, 62.261150, 0.481841, 3.63
1.50, 0.20, 0.90, 1300, 1000, 1, 32.879898, 0.912412, 3.63
1.50, 0.20, 0.90, 1300, 1000, 2, 35.420208, 0.846974, 3.63
1.50, 0.35, 0.60, 400, 100, 0, 2.285079, 13.128649, 3.87
1.50, 0.35, 0.60, 400, 100, 1, 1.378557, 21.761886, 3.87
1.50, 0.35, 0.60, 400, 100, 2, 1.412137, 21.244398, 3.87
1.50, 0.35, 0.60, 400, 550, 0, 10.656088, 2.815292, 3.76
1.50, 0.35, 0.60, 400, 550, 1, 5.679276, 5.282363, 3.75
1.50, 0.35, 0.60, 400, 550, 2, 5.997996, 5.001671, 3.76
1.50, 0.35, 0.60, 400, 1000, 0, 19.317033, 1.553034, 3.74
1.50, 0.35, 0.60, 400, 1000, 1, 10.158316, 2.953245, 3.74
1.50, 0.35, 0.60, 400, 1000, 2, 11.085875, 2.706146, 3.74
1.50, 0.35, 0.60, 850, 100, 0, 4.432950, 6.767502, 3.85
1.50, 0.35, 0.60, 850, 100, 1, 2.514883, 11.928984, 3.85
1.50, 0.35, 0.60, 850, 100, 2, 2.671740, 11.228638, 3.85
