sigma,tlow,thigh,width,height,mp,time,fps,psnr
1.50, 0.20, 0.90, 1300, 1000, 1, 31.259806, 0.959699, 8.25
1.50, 0.20, 0.90, 1300, 1000, 2, 32.649304, 0.918856, 8.25
1.50, 0.35, 0.60, 400, 100, 0, 2.838364, 10.569469, 8.07
1.50, 0.35, 0.60, 400, 100, 1, 1.850991, 16.207534, 8.07
1.50, 0.35, 0.60, 400, 100, 2, 1.824347, 16.444240, 8.07
1.50, 0.35, 0.60, 400, 550, 0, 11.063919, 2.711517, 8.06
1.50, 0.35, 0.60, 400, 550, 1, 6.077892, 4.935922, 8.06
1.50, 0.35, 0.60, 400, 550, 2, 6.568468, 4.567275, 8.06
1.50, 0.35, 0.60, 400, 1000, 0, 19.622729, 1.528839, 8.06
1.50, 0.35, 0.60, 400, 1000, 1, 10.350291, 2.898469, 8.06
1.50, 0.35, 0.60, 400, 1000, 2, 10.889304, 2.754997, 8.06
1.50, 0.35, 0.60, 850, 100, 0, 4.903919, 6.117556, 7.99
1.50, 0.35, 0.60, 850, 100, 1, 2.989698, 10.034458, 7.97
1.50, 0.35, 0.60, 850, 100, 2, 2.988941, 10.037000, 7.99
1.50, 0.35, 0.60, 850, 550, 0, 23.054313, 1.301275, 8.06
1.50, 0.35, 0.60, 850, 550, 1, 11.993708, 2.501312, 8.05
1.50, 0.35, 0.60, 850, 550, 2, 12.385802, 2.422128, 8.06
